X,Y,Nedbor,Month
1.0,0.5,55.0,1.0
1.0,0.5,51.0,2.0
1.0,0.5,65.0,3.0
1.0,0.5,60.0,4.0
1.0,0.5,45.0,5.0
1.0,0.5,60.0,6.0
1.0,0.5,81.0,7.0
1.0,0.5,73.0,8.0
1.0,0.5,92.0,9.0
1.0,0.5,74.0,10.0
1.0,0.5,89.0,11.0
1.0,0.5,108.0,12.0
1.0,8.0,103.0,1.0
1.0,8.0,96.0,2.0
1.0,8.0,110.0,3.0
1.0,8.0,68.0,4.0
1.0,8.0,77.0,5.0
1.0,8.0,69.0,6.0
1.0,8.0,98.0,7.0
1.0,8.0,105.0,8.0
1.0,8.0,118.0,9.0
1.0,8.0,106.0,10.0
1.0,8.0,182.0,11.0
1.0,8.0,165.0,12.0
2.0,2.0,124.0,1.0
2.0,2.0,92.0,2.0
2.0,2.0,102.0,3.0
2.0,2.0,99.0,4.0
2.0,2.0,82.0,5.0
2.0,2.0,80.0,6.0
2.0,2.0,123.0,7.0
2.0,2.0,133.0,8.0
2.0,2.0,103.0,9.0
2.0,2.0,123.0,10.0
2.0,2.0,158.0,11.0
2.0,2.0,193.0,12.0
2.0,9.0,108.0,1.0
2.0,9.0,149.0,2.0
2.0,9.0,135.0,3.0
2.0,9.0,97.0,4.0
2.0,9.0,85.0,5.0
2.0,9.0,123.0,6.0
2.0,9.0,120.0,7.0
2.0,9.0,129.0,8.0
2.0,9.0,142.0,9.0
2.0,9.0,183.0,10.0
2.0,9.0,162.0,11.0
2.0,9.0,227.0,12.0
3.0,1.0,83.0,1.0
3.0,1.0,83.0,2.0
3.0,1.0,97.0,3.0
3.0,1.0,61.0,4.0
3.0,1.0,53.0,5.0
3.0,1.0,56.0,6.0
3.0,1.0,94.0,7.0
3.0,1.0,92.0,8.0
3.0,1.0,89.0,9.0
3.0,1.0,128.0,10.0
3.0,1.0,107.0,11.0
3.0,1.0,151.0,12.0
5.0,2.0,137.0,1.0
5.0,2.0,104.0,2.0
5.0,2.0,143.0,3.0
5.0,2.0,112.0,4.0
5.0,2.0,75.0,5.0
5.0,2.0,99.0,6.0
5.0,2.0,128.0,7.0
5.0,2.0,145.0,8.0
5.0,2.0,147.0,9.0
5.0,2.0,167.0,10.0
5.0,2.0,147.0,11.0
5.0,2.0,251.0,12.0
6.0,1.0,126.0,1.0
6.0,1.0,144.0,2.0
6.0,1.0,101.0,3.0
6.0,1.0,74.0,4.0
6.0,1.0,63.0,5.0
6.0,1.0,74.0,6.0
6.0,1.0,102.0,7.0
6.0,1.0,116.0,8.0
6.0,1.0,167.0,9.0
6.0,1.0,118.0,10.0
6.0,1.0,153.0,11.0
6.0,1.0,204.0,12.0
6.0,7.0,110.0,1.0
6.0,7.0,121.0,2.0
6.0,7.0,114.0,3.0
6.0,7.0,103.0,4.0
6.0,7.0,68.0,5.0
6.0,7.0,89.0,6.0
6.0,7.0,102.0,7.0
6.0,7.0,112.0,8.0
6.0,7.0,109.0,9.0
6.0,7.0,110.0,10.0
6.0,7.0,188.0,11.0
6.0,7.0,205.0,12.0
7.0,5.0,170.0,1.0
7.0,5.0,223.0,2.0
7.0,5.0,163.0,3.0
7.0,5.0,147.0,4.0
7.0,5.0,104.0,5.0
7.0,5.0,140.0,6.0
7.0,5.0,176.0,7.0
7.0,5.0,206.0,8.0
7.0,5.0,228.0,9.0
7.0,5.0,188.0,10.0
7.0,5.0,325.0,11.0
7.0,5.0,297.0,12.0
8.0,6.0,240.0,1.0
8.0,6.0,188.0,2.0
8.0,6.0,217.0,3.0
8.0,6.0,195.0,4.0
8.0,6.0,118.0,5.0
8.0,6.0,187.0,6.0
8.0,6.0,171.0,7.0
8.0,6.0,185.0,8.0
8.0,6.0,220.0,9.0
8.0,6.0,258.0,10.0
8.0,6.0,255.0,11.0
8.0,6.0,364.0,12.0
9.0,5.0,214.0,1.0
9.0,5.0,237.0,2.0
9.0,5.0,273.0,3.0
9.0,5.0,197.0,4.0
9.0,5.0,152.0,5.0
9.0,5.0,192.0,6.0
9.0,5.0,339.0,7.0
9.0,5.0,298.0,8.0
9.0,5.0,238.0,9.0
9.0,5.0,289.0,10.0
9.0,5.0,318.0,11.0
9.0,5.0,499.0,12.0
10.0,0.5,133.0,1.0
